0-Time 1-Source 2-bdp_pkts 3-arr_Mbps  4-aggreg_ar_Mbps  5-AverageRttValue 6-pktsize 7-mupsi 8-aggreg_mupsi 9-occ_bdp_per_source 10-mupsi_mm1_per_source 11-aggreg_occ_bdp 12-aggreg_mupsi_mm1 13-measured_btlBW_Mbps
0.200179 S1 2.976757 0.057920 0.637120 0.200000 1448 0.998764 0.998764 0.335936 1.784725 3.695296 22.045805 0.172414
0.401462 S0 0.994314 0.521280 2.838080 0.200000 1448 1.000000 1.000000 9.051468 101.032006 49.280214 2528.099905 0.057591
0.602750 S0 2.698253 0.700260 3.932232 0.215051 1448 0.999999 0.999999 4.817933 33.848343 27.054546 787.057555 0.156283
0.804037 S0 3.251755 1.012557 5.467807 0.228807 1448 1.082023 1.082023 6.150524 51.129999 33.212832 1170.517857 0.188342
1.006526 S0 5.081037 1.366454 7.320290 0.237368 1448 1.164290 1.164290 5.510686 42.389034 29.521533 931.563977 0.294294
1.210223 S0 331.122539 1.281155 6.750704 0.235088 1448 1.227001 1.227001 0.078521 1.163207 0.413744 1.998672 19.178617
1.412712 S0 14.781037 1.271971 6.970403 0.227678 1448 1.267507 1.267507 1.691356 7.243398 9.268632 105.444808 0.856118
1.613999 S0 15.467844 1.307223 7.189728 0.212677 1448 1.323935 1.323935 1.551606 6.510693 8.533833 90.893972 0.895898
1.816488 S0 15.467844 1.260377 6.959475 0.211391 1448 1.405640 1.405640 1.486956 6.184949 8.210582 84.834816 0.895898
2.017775 S0 16.221587 1.334090 7.281909 0.208394 1448 1.199888 1.199888 1.479510 6.147970 8.075659 82.367582 0.939554
2.220264 S0 15.467844 1.264711 7.038391 0.210666 1448 1.333489 1.333489 1.486956 6.184949 8.275232 86.029929 0.895898
2.421551 S0 17.052552 1.219635 6.818868 0.208954 1448 1.277424 1.277424 1.290130 5.244693 7.212997 67.453316 0.987684
2.624040 S0 16.221587 1.216528 6.635607 0.209488 1448 1.117589 1.117589 1.356218 5.551761 7.397550 70.518846 0.939554
2.826529 S0 16.221587 1.115896 6.249015 0.207618 1448 5.849909 5.849909 1.232925 4.985954 6.904380 62.479223 0.939554
3.029018 S0 16.221587 1.108777 6.098276 0.208951 1448 4.579912 4.579912 1.232925 4.985954 6.781088 60.545323 0.939554
3.231507 S0 16.221587 0.883620 5.688303 0.209755 1448 1.655996 1.655996 0.986340 3.945547 6.349564 54.016087 0.939554
3.433996 S0 16.221587 0.832492 5.660943 0.208723 1448 1.014407 1.014407 0.924694 3.704446 6.287918 53.113741 0.939554
3.635283 S0 16.221587 0.764699 5.516757 0.212078 1448 1.127131 1.127131 0.863048 3.470946 6.226271 52.218996 0.939554
3.837772 S0 17.052552 0.774530 5.532354 0.209386 1448 1.046797 1.046797 0.820992 3.316010 5.864225 47.117585 0.987684
4.040261 S0 16.221587 0.832629 5.828404 0.208688 1448 1.053205 1.053205 0.924694 3.704446 6.472856 55.843581 0.939554
4.241548 S0 17.052552 0.877292 6.031386 0.211268 1448 1.002099 1.002099 0.938276 3.756914 6.450647 55.512148 0.987684
4.444037 S0 16.221587 0.936984 6.283304 0.210172 1448 1.027798 1.027798 1.047986 4.194248 7.027673 64.443526 0.939554
4.645324 S0 17.973247 0.874097 6.118680 0.212040 1448 1.037766 1.037766 0.890212 3.572901 6.231484 52.294361 1.041010
4.847813 S0 17.052552 0.834156 6.172751 0.208306 1448 1.023530 1.023530 0.879634 3.533023 6.509290 56.389433 0.987684
5.049100 S0 17.973247 0.766524 6.077437 0.211573 1448 1.076416 1.076416 0.778935 3.164612 6.175846 51.492762 1.041010
5.251589 S0 17.052552 0.762738 6.156389 0.212623 1448 1.195172 1.195172 0.820992 3.316010 6.626574 58.164635 0.987684
5.454078 S0 16.221587 0.714593 6.321401 0.210738 1448 0.990732 0.990732 0.801401 3.245046 7.089319 65.437078 0.939554
5.655365 S0 17.052552 0.661441 6.449050 0.210159 1448 1.075168 1.075168 0.703707 2.902618 6.861143 61.797573 0.987684
5.857854 S0 17.973247 0.598913 6.315810 0.212759 1448 1.132654 1.132654 0.612021 2.598611 6.454037 55.562668 1.041010
6.059142 S0 17.973247 0.603724 6.366541 0.211063 1448 0.891514 0.891514 0.612021 2.598611 6.454037 55.562668 1.041010
6.260429 S0 17.973247 0.545064 6.377248 0.212526 1448 1.021170 1.021170 0.556383 2.422326 6.509675 56.395222 1.041010
6.462918 S0 18.999036 0.598305 6.472567 0.212975 1448 1.128223 1.128223 0.578977 2.493168 6.263476 52.758080 1.100424
6.664205 S0 21.447146 0.653845 6.756398 0.212601 1448 0.965813 0.965813 0.559515 2.432087 5.781655 45.990845 1.242219
6.866694 S0 22.924081 0.710036 6.881891 0.212091 1448 1.063849 1.063849 0.567089 2.455769 5.496404 42.203258 1.327763
7.067981 S0 24.619475 0.658990 6.974311 0.210941 1448 1.079176 1.079176 0.487419 2.212415 5.158518 37.927341 1.425960
7.270470 S0 24.619475 0.603702 6.860250 0.211071 1448 1.014824 1.014824 0.446801 2.093232 5.077281 36.933347 1.425960
7.471757 S0 26.585669 0.661756 6.893289 0.210059 1448 0.919181 0.919181 0.451371 2.106478 4.701781 32.510309 1.539842
7.674246 S0 24.619475 0.607831 6.851915 0.209637 1448 1.080211 1.080211 0.446801 2.093232 5.036663 36.441300 1.425960
7.875534 S0 28.893175 0.547290 6.731669 0.211661 1448 1.132314 1.132314 0.346103 1.811992 4.257061 27.636688 1.673493
8.088837 S4 15.467844 0.882705 6.730627 0.209973 1448 1.063173 1.063173 1.034404 4.138800 7.887330 78.984643 0.895898
8.291326 S4 14.781037 0.822778 6.582223 0.211187 1448 1.615777 1.615777 1.014814 4.059474 8.118510 83.147225 0.856118
8.492613 S4 15.467844 0.769611 6.321807 0.210725 1448 1.132797 1.132797 0.905104 3.629419 7.434779 71.145493 0.895898
8.695102 S4 15.467844 0.707067 6.200435 0.212981 1448 1.154429 1.154429 0.840453 3.387268 7.370129 70.059051 0.895898
8.896389 S4 15.467844 0.662959 6.298115 0.209678 1448 0.970695 0.970695 0.775803 3.153476 7.370128 70.059051 0.895898
9.098878 S4 15.467844 0.653426 6.316452 0.212737 1448 1.020501 1.020501 0.775803 3.153476 7.499429 72.240293 0.895898
9.301367 S4 14.781037 0.660461 6.494531 0.210471 1448 1.081842 1.081842 0.811851 3.282804 7.983202 80.697909 0.856118
9.503856 S4 15.467844 0.648524 6.431196 0.214345 1448 1.060586 1.060586 0.775803 3.153476 7.693380 75.574851 0.895898
9.706345 S4 14.784540 0.645157 6.451571 0.215464 1448 1.030799 1.030799 0.811659 3.282107 8.116586 83.112148 0.856321
9.908834 S4 15.471680 0.584047 6.265229 0.218174 1448 1.059411 1.059411 0.710976 2.927440 7.626838 74.422333 0.896120
10.110121 S4 15.471680 0.529696 6.303381 0.218692 1448 1.113021 1.113021 0.646342 2.710443 7.691472 75.541689 0.896120
10.312610 S4 15.471680 0.467724 6.184344 0.222901 1448 1.098933 1.098933 0.581708 2.501800 7.691472 75.541689 0.896120
10.513897 S4 15.471680 0.471449 6.338368 0.221140 1448 9.678378 9.678378 0.581708 2.501800 7.820741 77.805465 0.896120
10.715184 S4 16.225806 0.590754 6.659405 0.215697 1448 0.832017 0.832017 0.677932 2.815457 7.642147 74.686710 0.939799
10.917673 S4 15.471680 0.588560 6.634672 0.216501 1448 0.831712 0.831712 0.710976 2.927440 8.014643 81.263793 0.896120
11.118961 S4 16.225806 0.657019 6.843945 0.211574 1448 0.949097 0.949097 0.739563 3.026078 7.703777 75.755743 0.939799
11.321449 S4 15.471680 0.710121 6.937331 0.212065 1448 0.992220 0.992220 0.840245 3.386501 8.208546 84.797318 0.896120
11.522737 S4 16.225806 0.714054 6.975754 0.210897 1448 1.044047 1.044047 0.801193 3.244296 7.827038 77.916599 0.939799
11.724024 S4 16.225806 0.747526 6.941311 0.216950 1448 0.892770 0.892770 0.862823 3.470110 8.011929 81.214857 0.939799
11.925311 S4 19.004824 0.706279 7.171448 0.213219 1448 0.969035 0.969035 0.684037 2.835980 6.945605 63.132639 1.100759
12.126599 S4 21.454522 0.635199 7.040118 0.218842 1448 1.026609 1.026609 0.559323 2.431487 6.199159 51.827894 1.242646
12.329088 S4 26.597004 0.581143 7.079379 0.219264 1448 0.979313 0.979313 0.413580 1.998210 5.038161 36.459394 1.540498
12.530375 S4 28.906563 0.630574 7.041412 0.220447 1448 0.988737 0.988737 0.415131 2.002595 4.635625 31.760275 1.674268
12.732864 S4 31.655367 0.571033 6.904309 0.223146 1448 1.158773 1.158773 0.347492 1.815736 4.201499 27.055595 1.833479
12.934151 S4 39.089649 0.625826 7.040546 0.222119 1448 0.539405 0.539405 0.306987 1.708214 3.453600 19.834550 2.264072
13.137841 S4 34.981890 0.523785 7.123470 0.221160 1448 0.443382 0.443382 0.285862 1.653442 3.887726 23.889865 2.026151
13.340330 S4 39.089649 0.481577 7.384184 0.216489 1448 0.874099 0.874099 0.230240 1.513490 3.530346 20.524038 2.264072
13.541618 S4 60.349229 0.434094 7.433862 0.213484 1448 0.901277 0.901277 0.132562 1.282696 2.270120 10.693686 3.495427
13.744107 S4 60.349229 0.382348 7.483106 0.212079 1448 0.166753 0.166753 0.115992 1.245437 2.270120 10.693686 3.495427
13.945394 S4 94.677066 0.328734 7.560891 0.211429 1448 1.658377 1.658377 0.063373 1.130763 1.457586 6.039731 5.483696
14.147883 S4 73.712501 0.267977 7.288983 0.216138 1448 1.175679 1.175679 0.067831 1.140263 1.845006 8.094059 4.269428
14.349170 S4 219.576569 0.215108 7.367432 0.215409 1448 1.218166 1.218166 0.018217 1.036766 0.623928 2.637143 12.717875
14.551039 S3 110.963160 2.541985 7.255250 0.218739 1448 1.118218 1.118218 0.432576 2.052274 1.234644 4.993634 6.426986
14.751124 S3 110.963160 2.537927 7.243666 0.219089 1448 1.116422 1.116422 0.432576 2.052274 1.234644 4.993634 6.426986
14.953613 S3 110.963160 2.536194 7.039231 0.223806 1448 1.134946 1.134946 0.441588 2.078176 1.225632 4.953438 6.426986
15.154901 S2 110.963160 2.284938 6.854813 0.228138 1448 1.174848 1.174848 0.405540 1.975543 1.216620 4.913404 6.426986
15.354986 S3 166.444740 2.547313 6.842782 0.231924 1448 1.581102 1.581102 0.306408 1.706702 0.823096 3.323679 9.640479
15.556274 S3 166.444740 2.592969 6.981071 0.232308 1448 1.008627 1.008627 0.312416 1.722436 0.841120 3.389723 9.640479
15.757561 S1 110.963160 1.263607 7.076198 0.229185 1448 1.103069 1.103069 0.225300 1.501360 1.261680 5.115196 6.426986
15.958848 S1 166.444740 1.236240 7.159893 0.224888 1448 1.118710 1.118710 0.144192 1.309175 0.835112 3.367636 9.640479
16.158934 S2 110.963160 2.606319 7.499816 0.217785 1448 1.142691 1.142691 0.441588 2.078176 1.270692 5.156042 6.426986
16.360221 S2 166.444740 2.707273 7.688654 0.213942 1448 0.598565 0.598565 0.300400 1.691040 0.853136 3.434113 9.640479
16.561508 S3 110.963160 2.858427 7.712361 0.214787 1448 0.818329 0.818329 0.477636 2.183408 1.288716 5.238221 6.426986
16.762796 S3 166.444740 2.892892 7.660805 0.216232 1448 0.979813 0.979813 0.324432 1.754120 0.859144 3.456416 9.640479
16.964083 S1 166.444740 1.231197 7.761895 0.216401 1448 1.887873 1.887873 0.138184 1.295463 0.871160 3.501240 9.640479
17.165370 S1 166.444740 1.250316 7.553991 0.222357 1448 2.235682 2.235682 0.144192 1.309175 0.871160 3.501240 9.640479
17.365456 S3 166.444740 2.980246 7.685899 0.221555 1448 1.480054 1.480054 0.342456 1.802188 0.883176 3.546352 9.640479
17.566743 S1 166.444740 1.271013 7.422718 0.227850 1448 1.004156 1.004156 0.150200 1.322960 0.877168 3.523760 9.640479
17.768031 S1 110.963160 1.309499 7.454069 0.229999 1448 1.023848 1.023848 0.234312 1.523526 1.333776 5.446510 6.426986
