0-Time 1-Source 2-bdp_pkts 3-arr_Mbps  4-aggreg_ar_Mbps  5-AverageRttValue 6-pktsize 7-mupsi 8-aggreg_mupsi 9-occ_bdp_per_source 10-mupsi_mm1_per_source 11-aggreg_occ_bdp 12-aggreg_mupsi_mm1 13-measured_btlBW_Mbps
0.200179 S1 2.976757 0.115840 0.637120 0.200000 1448 0.998764 0.998764 0.671872 2.795156 3.695296 22.045805 0.172414
0.401462 S0 0.994314 0.521280 2.838080 0.200000 1448 1.000000 1.000000 9.051468 101.032006 49.280214 2528.099905 0.057591
0.602750 S0 2.788667 0.916488 5.013729 0.214872 1448 0.999999 0.999999 6.096102 50.354660 33.349262 1179.871832 0.161520
0.803331 S2 33.169696 1.736357 8.471320 0.220157 1448 1.079449 1.079424 0.994884 3.979562 4.853828 34.267302 1.921189
1.003920 S3 332.889481 2.790901 13.954507 0.215833 1448 1.114801 1.114789 0.156208 1.336817 0.781040 3.172103 19.280959
1.204481 S3 110.963160 4.021949 21.045084 0.247697 1448 1.107232 1.107226 0.775032 3.150739 4.055400 25.557069 6.426986
1.405263 S3 332.889481 3.634955 18.798962 0.315497 1448 1.122413 1.122410 0.297396 1.683236 1.538048 6.441688 19.280959
1.606234 S3 332.889481 2.728879 12.495393 0.322617 1448 1.190358 1.190354 0.228304 1.508731 1.045392 4.183628 19.280959
1.806901 S4 499.334221 2.010753 11.992704 0.322617 1448 1.119675 1.160621 0.112149 1.236876 0.668891 2.785196 28.921438
2.007569 S2 166.444740 2.082565 12.998081 0.322617 1448 1.101309 1.101309 0.348464 1.818355 2.174896 10.079965 9.640479
2.208236 S2 27.765488 2.274177 14.134883 0.331091 1448 1.240435 1.240435 2.341036 11.162520 14.550438 241.816114 1.608177
2.408903 S1 27.765488 1.644405 13.959946 0.331091 1448 1.399422 1.399422 1.692749 7.250897 14.370358 236.247907 1.608177
2.609570 S4 36.409787 1.154582 11.195947 0.331091 1448 1.710272 1.710272 0.906350 3.634169 8.788846 95.821500 2.108855
2.810237 S1 36.409787 0.174937 9.936403 0.331091 1448 2.910039 2.910039 0.137326 1.293510 7.800101 77.441770 2.108855
3.012106 S3 36.409787 7.382327 12.980301 0.331091 1448 1.141295 1.141295 5.795145 46.173998 10.189568 125.206432 2.108855
3.212597 S3 45.460187 9.551542 13.330174 0.331091 1448 1.601855 1.601855 6.005255 49.073594 8.380960 88.002408 2.633054
3.412945 S3 45.460187 10.111339 14.764655 0.331091 1448 1.635305 1.635305 6.357211 54.128554 9.282848 105.736962 2.633054
3.613383 S4 33.288948 0.483274 4.729181 0.335578 1448 1.822693 1.822693 0.420560 2.017991 4.115480 26.168136 1.928096
3.814013 S2 278.398452 1.415302 4.487544 0.335578 1448 1.703648 1.703648 0.147271 1.316231 0.466957 2.151962 16.124838
4.014044 S1 863.968206 0.903528 4.726149 0.333342 1448 1.654248 1.654248 0.030094 1.061093 0.157413 1.339605 50.041038
4.215683 S1 231.041593 0.735210 6.011420 0.267853 1448 1.669441 1.669441 0.073580 1.152574 0.601623 2.565197 13.381929
4.416242 S3 303.395297 0.535409 7.049558 0.259629 1448 1.667699 1.667699 0.039552 1.080669 0.520773 2.312750 17.572656
4.616830 S4 132.215845 2.563214 7.829454 0.248563 1448 1.708503 1.708503 0.415986 2.005018 1.270650 5.155849 7.657942
