0-Time 1-Source 2-bdp_pkts 3-arr_Mbps  4-aggreg_ar_Mbps  5-AverageRttValue 6-pktsize 7-mupsi 8-aggreg_mupsi 9-occ_bdp_per_source 10-mupsi_mm1_per_source 11-aggreg_occ_bdp 12-aggreg_mupsi_mm1 13-measured_btlBW_Mbps
0.200179 S1 2.976757 0.057920 0.637120 0.200000 1448 0.998764 0.998764 0.335936 1.784725 3.695296 22.045805 0.172414
0.401462 S0 0.994314 0.521280 2.838080 0.200000 1448 1.000000 1.000000 9.051468 101.032006 49.280214 2528.099905 0.057591
0.602750 S0 2.788667 0.700844 3.935508 0.214872 1448 0.999999 0.999999 4.661725 32.055128 26.177378 738.609878 0.161520
0.804037 S0 3.379038 1.023629 5.629960 0.226332 1448 1.081046 1.081046 5.918844 47.870408 32.553644 1125.847039 0.195714
1.006526 S0 5.411425 1.563108 8.319769 0.229737 1448 1.154327 1.154327 5.728621 45.274338 30.491046 991.685997 0.313430
1.207813 S0 51.087604 2.268898 11.972059 0.239961 1448 1.192377 1.192377 0.919988 3.686355 4.854407 34.274076 2.958994
1.409682 S3 166.444740 2.688317 15.127479 0.254232 1448 1.216781 1.216781 0.354472 1.834594 1.994656 8.967965 9.640479
1.610349 S1 166.444740 3.178304 16.566909 0.291577 1448 1.148215 1.148215 0.480640 2.192295 2.505336 12.287380 9.640479
1.812218 S3 166.444740 3.018917 16.472786 0.353017 1448 0.496557 0.496557 0.552736 2.410989 3.016016 16.128385 9.640479
2.012885 S0 166.444740 3.789189 16.382669 0.415768 1448 0.869618 0.869618 0.817088 3.301809 3.532704 20.545406 9.640479
2.214754 S2 166.444740 2.778122 16.376299 0.475348 1448 1.647151 1.647151 0.684912 2.838928 4.037376 25.375157 9.640479
2.416623 S3 166.444740 3.021684 16.295509 0.536707 1448 2.137234 2.137234 0.841120 3.389723 4.536040 30.647739 9.640479
2.617290 S4 166.444740 3.317677 16.568637 0.586589 1448 3.147258 3.147258 1.009344 4.037463 5.040712 36.490201 9.640479
2.817957 S0 166.444740 4.361280 16.565685 0.645433 1448 5.283144 5.283144 1.459944 6.051324 5.545384 42.842052 9.640479
3.018624 S2 166.444740 2.754542 16.316610 0.714921 1448 9.963250 9.963250 1.021360 4.085896 6.050056 49.703290 9.640479
3.220493 S3 166.444740 2.625857 16.004523 0.789661 1448 7.022583 7.022583 1.075432 4.307418 6.554728 57.073915 9.640479
3.422362 S3 166.444740 3.370207 16.022075 0.852420 1448 6.473815 6.473815 1.489984 6.200020 7.083432 65.341873 9.640479
3.624231 S4 166.444740 3.274643 16.321442 0.894984 1448 14.976266 14.976266 1.520024 6.350521 7.576088 73.549285 9.640479
3.824898 S0 166.444740 3.922278 16.182407 0.962804 1448 0.794420 0.794420 1.958608 8.753361 8.080760 82.460202 9.640479
4.025565 S1 166.444740 3.174687 15.917993 1.039926 1448 7.958242 7.958242 1.712280 7.356463 8.585432 91.880507 9.640479
4.226232 S2 166.444740 2.745135 16.213452 1.080276 1448 6.430001 6.430001 1.538048 6.441688 9.084096 101.688992 9.640479
4.426899 S2 166.444740 3.317836 16.007807 1.155664 1448 20.065225 20.065225 1.988648 8.932017 9.594776 112.249278 9.640479
4.627567 S4 166.444740 2.444410 15.692737 1.241612 1448 31.779828 31.779828 1.574096 6.625970 10.105456 123.331153 9.640479
4.829435 S3 166.444740 3.310292 15.929091 1.284276 1448 65.149870 65.149870 2.204936 10.271615 10.610128 134.795072 9.640479
5.031304 S4 166.444740 2.925308 16.097901 1.330535 1448 217.562300 217.562300 2.018688 9.112477 11.108792 146.622844 9.640479
5.233173 S0 166.444740 3.311117 15.711576 1.427395 1448 2.452959 2.452959 2.451264 11.911223 11.631488 159.554489 9.640479
5.433840 S0 166.444740 3.853134 15.999226 1.461103 1448 3.227461 3.227461 2.919888 15.365522 12.124144 172.243156 9.640479
5.634507 S1 166.444740 2.851501 15.583269 1.564032 1448 13.026176 13.026176 2.313080 10.976499 12.640832 186.072298 9.640479
5.837578 S4 110.963160 2.785263 15.728124 1.613704 1448 9.499342 9.499342 3.496656 20.219915 19.745292 430.367140 6.426986
6.038779 S4 230.414747 2.728166 15.914303 1.655969 1448 20.798753 20.798753 1.692600 7.250095 9.873500 118.233002 13.345622
6.238912 S2 166.444740 2.989475 15.520250 1.759217 1448 1.390915 1.390915 2.727632 13.895240 14.160856 229.851555 9.640479
6.439579 S2 166.444740 3.390874 15.571250 1.817434 1448 1.714172 1.714172 3.196256 17.608564 14.677544 245.785386 9.640479
6.640247 S3 166.444740 2.728634 15.558755 1.880689 1448 4.667625 4.667625 2.661544 13.406904 15.176208 261.669705 9.640479
6.840933 S3 166.001829 2.664575 15.122946 1.956334 1448 42.879668 42.879668 2.710813 13.770137 15.385373 268.480436 9.614826
7.041600 S4 5.739474 1.805828 13.714848 1.962925 1448 33.139107 33.139107 53.314992 2950.118356 404.915168 164767.123612 0.332430
7.242268 S0 166.001829 3.142565 12.622832 1.983154 1448 120.976406 120.976406 3.240928 17.985471 13.017929 196.502329 9.614826
7.442935 S0 1.541231 1.753223 11.160053 1.988785 1448 19.888590 19.888590 195.298414 38533.067315 1243.161997 1547939.074879 0.089268
7.643602 S0 1.541231 1.170757 10.519340 1.988785 1448 16.899966 16.899966 130.415220 17269.960032 1171.790484 1375437.518517 0.089268
7.844269 S1 1.541231 2.091054 9.243739 1.988785 1448 18.259572 18.259572 232.930666 54723.556710 1029.696289 1062334.839705 0.089268
8.044936 S1 1.541231 1.310549 8.410813 1.988785 1448 89.876952 89.876952 145.987187 21605.232995 936.913321 879681.398385 0.089268
8.245604 S2 1.541231 2.463832 7.403146 1.988785 1448 7.877958 7.877958 274.455911 75875.958695 824.665396 681723.345722 0.089268
8.446271 S2 1.541231 1.473640 6.308109 1.988785 1448 6.194033 6.194033 164.154481 27276.002535 702.684991 495172.566587 0.089268
8.646938 S3 1.541231 1.397919 5.614975 1.988785 1448 9.389489 9.389489 155.719666 24561.053586 625.473990 392469.660347 0.089268
8.847605 S4 1.541231 0.821277 5.149002 1.988785 1448 10.371527 10.371527 91.485304 8553.531371 573.567435 330127.737317 0.089268
9.048272 S0 499.334221 1.619256 6.989595 1.988785 1448 9.878399 9.878399 0.556741 2.423444 2.403200 11.581770 28.921438
9.248940 S1 499.334221 1.625081 7.531288 1.988785 1448 9.943924 9.943924 0.558744 2.429683 2.589448 12.884137 28.921438
9.449607 S2 332.889481 1.648379 7.531288 1.988785 1448 9.943924 9.943924 0.850132 3.422988 3.884172 23.855136 19.280959
9.650274 S1 499.334221 1.625081 7.531288 1.988785 1448 9.943924 9.943924 0.558744 2.429683 2.589448 12.884137 28.921438
9.850941 S3 499.334221 1.421218 7.531288 1.988785 1448 9.943924 9.943924 0.488651 2.216081 2.589448 12.884137 28.921438
10.052791 S4 166.444740 1.415966 8.967785 1.668921 1448 9.326136 9.326136 1.225632 4.953438 7.762336 76.778532 9.640479
10.253458 S0 166.444740 2.091156 9.753694 1.534447 1448 2.338042 2.338042 1.664216 7.098047 7.762336 76.778532 9.640479
10.454125 S0 83.668915 2.286823 10.636193 1.408221 1448 13.209381 13.209381 3.322620 18.685042 15.453768 270.726478 4.846104
10.654792 S1 166.444740 2.325008 10.805432 1.385093 1448 7.095487 7.095487 1.670224 7.130096 7.762336 76.778532 9.640479
10.856661 S1 166.444740 2.289808 10.641841 1.406385 1448 25.819303 25.819303 1.670224 7.130096 7.762336 76.778532 9.640479
11.057328 S2 166.444740 2.284715 10.409934 1.439941 1448 1.920067 1.920067 1.706272 7.323908 7.774352 76.989253 9.640479
11.259197 S3 166.444740 1.852539 9.849714 1.519489 1448 5.063851 5.063851 1.459944 6.051324 7.762336 76.778532 9.640479
11.461066 S3 166.444740 1.796561 9.552088 1.566833 1448 0.587235 0.587235 1.459944 6.051324 7.762336 76.778532 9.640479
11.661733 S4 166.444740 1.515760 9.567772 1.566686 1448 1.052655 1.052655 1.231640 4.980217 7.774352 76.989253 9.640479
11.862400 S0 166.444740 2.053812 9.567217 1.567988 1448 4.369332 4.369332 1.670224 7.130096 7.780360 77.094722 9.640479
12.064269 S0 166.444740 2.056357 9.586472 1.566047 1448 3.638349 3.638349 1.670224 7.130096 7.786368 77.200263 9.640479
12.266138 S1 166.444740 2.059625 9.601704 1.563562 1448 3.939206 3.939206 1.670224 7.130096 7.786368 77.200263 9.640479
12.466805 S1 166.444740 2.052574 9.568835 1.568933 1448 4.638141 4.638141 1.670224 7.130096 7.786368 77.200263 9.640479
12.667472 S2 166.444740 2.092444 9.582356 1.566719 1448 4.799777 4.799777 1.700264 7.291426 7.786368 77.200263 9.640479
12.869341 S3 166.444740 1.802442 9.573628 1.568148 1448 4.602999 4.602999 1.465952 6.080919 7.786368 77.200263 9.640479
13.071210 S3 166.444740 1.796840 9.543870 1.573037 1448 11.454653 11.454653 1.465952 6.080919 7.786368 77.200263 9.640479
13.271877 S4 166.444740 1.500760 9.487733 1.582345 1448 7.703362 7.703362 1.231640 4.980217 7.786368 77.200263 9.640479
13.473746 S2 166.444740 2.079718 9.524078 1.576306 1448 7.768345 7.768345 1.700264 7.291426 7.786368 77.200263 9.640479
13.675615 S0 166.444740 2.042124 9.520119 1.576962 1448 8.361920 8.361920 1.670224 7.130096 7.786368 77.200263 9.640479
13.876282 S4 110.963160 1.509448 9.550021 1.573237 1448 7.170689 7.170689 1.847460 8.108028 11.688564 160.999656 6.426986
14.078151 S1 166.444740 2.056821 9.561638 1.571326 1448 7.486092 7.486092 1.676232 7.162218 7.792376 77.305876 9.640479
14.280019 S2 166.444740 2.081263 9.538508 1.575136 1448 7.701578 7.701578 1.700264 7.291426 7.792376 77.305876 9.640479
14.480687 S3 166.444740 1.801031 9.573512 1.569377 1448 7.545924 7.545924 1.465952 6.080919 7.792376 77.305876 9.640479
14.681354 S4 166.444740 1.510777 9.558431 1.571853 1448 8.422282 8.422282 1.231640 4.980217 7.792376 77.305876 9.640479
14.883223 S0 166.444740 2.050170 9.572375 1.570773 1448 10.065174 10.065174 1.670224 7.130096 7.798384 77.411561 9.640479
15.083890 S2 166.444740 2.098340 9.605077 1.567837 1448 7.749333 7.749333 1.706272 7.323908 7.810400 77.623148 9.640479
15.285759 S0 110.963160 2.051382 9.558412 1.575492 1448 8.004353 8.004353 2.514348 12.350642 11.715600 161.686483 6.426986
15.487627 S1 166.444740 2.046589 9.536076 1.579182 1448 8.116217 8.116217 1.676232 7.162218 7.810400 77.623148 9.640479
15.688295 S2 166.444740 2.090011 9.566952 1.574085 1448 7.771805 7.771805 1.706272 7.323908 7.810400 77.623148 9.640479
15.888962 S2 166.444740 2.088236 9.558825 1.575424 1448 7.901504 7.901504 1.706272 7.323908 7.810400 77.623148 9.640479
16.089629 S4 166.444740 1.515140 9.568921 1.574972 1448 9.183830 9.183830 1.237648 5.007069 7.816408 77.729050 9.640479
16.291498 S4 166.444740 1.512711 9.553580 1.577501 1448 7.927207 7.927207 1.237648 5.007069 7.816408 77.729050 9.640479
16.492165 S0 166.444740 2.059411 9.603202 1.569350 1448 7.919052 7.919052 1.676232 7.162218 7.816408 77.729050 9.640479
16.694034 S0 166.444740 2.050804 9.563068 1.575936 1448 7.173025 7.173025 1.676232 7.162218 7.816408 77.729050 9.640479
16.895903 S1 166.444740 2.048624 9.552904 1.577613 1448 7.514847 7.514847 1.676232 7.162218 7.816408 77.729050 9.640479
17.097771 S1 166.444740 2.049568 9.530489 1.582539 1448 7.987901 7.987901 1.682240 7.194411 7.822416 77.835024 9.640479
17.299640 S2 166.444740 2.073973 9.508144 1.586258 1448 8.194062 8.194062 1.706272 7.323908 7.822416 77.835024 9.640479
17.501509 S3 166.444740 1.795982 9.544364 1.580238 1448 7.922342 7.922342 1.471960 6.110586 7.822416 77.835024 9.640479
17.703378 S3 166.444740 1.802382 9.578374 1.574627 1448 7.871359 7.871359 1.471960 6.110586 7.822416 77.835024 9.640479
