0-Time 1-Source 2-bdp_pkts 3-arr_Mbps  4-aggreg_ar_Mbps  5-AverageRttValue 6-pktsize 7-mupsi 8-aggreg_mupsi 9-occ_bdp_per_source 10-mupsi_mm1_per_source 11-aggreg_occ_bdp 12-aggreg_mupsi_mm1 13-measured_btlBW_Mbps
0.200179 S1 2.976757 0.057920 0.637120 0.200000 1448 0.998764 0.998764 0.335936 1.784725 3.695296 22.045805 0.172414
0.401462 S0 0.994314 0.521280 2.838080 0.200000 1448 1.000000 1.000000 9.051468 101.032006 49.280214 2528.099905 0.057591
0.602750 S0 2.788667 0.916488 5.013729 0.214872 1448 0.999999 0.999999 6.096102 50.354660 33.349262 1179.871832 0.161520
0.804037 S0 4.239763 1.749524 9.347455 0.231743 1448 1.079339 1.079339 8.255178 85.658314 44.106235 2034.572449 0.245567
1.004704 S4 166.444740 2.329703 15.815097 0.258560 1448 1.155506 1.155506 0.312416 1.722436 2.120824 9.739542 9.640479
1.206573 S1 166.444740 5.829639 21.091959 0.286141 1448 1.238440 1.238440 0.865152 3.478792 3.130168 17.058288 9.640479
1.407259 S4 166.001829 2.553579 23.327293 0.335692 1448 1.332405 1.332405 0.445778 2.090275 4.072244 25.727662 9.614826
1.607927 S1 3.871288 2.513648 16.355467 0.345633 1448 1.382981 1.382981 19.373396 415.075244 126.056227 16143.284748 0.224225
1.808594 S4 7.565670 1.201811 9.814793 0.346996 1448 1.390310 1.390310 4.758336 33.158433 38.859744 1588.799192 0.438204
2.009261 S2 166.444740 2.603925 11.150139 0.346996 1448 1.204399 1.204399 0.468624 2.156856 2.006672 9.040077 9.640479
2.209909 S0 332.889481 3.333680 13.234709 0.347484 1448 1.363470 1.363470 0.300400 1.691040 1.192588 4.807442 19.280959
2.410576 S2 166.444740 3.297602 14.279237 0.372363 1448 1.457334 1.457334 0.636848 2.679271 2.757672 14.120099 9.640479
2.611250 S0 11.094343 2.945293 13.043440 0.385439 1448 1.903884 1.903884 8.833331 96.694397 39.119037 1609.537131 0.642584
2.811930 S3 3.467599 2.212154 9.894906 0.387503 1448 2.229490 2.229490 21.340416 499.094187 95.455104 9303.587088 0.200843
3.012597 S0 299.281127 2.152366 10.163952 0.387503 1448 1.228008 1.228008 0.240576 1.539030 1.136056 4.562734 17.334363
3.213264 S2 166.444740 2.267630 8.085891 0.388240 1448 2.433666 2.433666 0.456608 2.121707 1.628168 6.907267 9.640479
3.413912 S0 166.444740 2.162836 8.177298 0.390983 1448 2.231884 2.231884 0.438584 2.069524 1.658208 7.066070 9.640479
3.615781 S2 166.444740 2.272584 8.169795 0.402685 1448 1.854176 1.854176 0.474632 2.174540 1.706272 7.323908 9.640479
3.817650 S1 166.444740 2.557615 9.201178 0.371396 1448 3.757956 3.757956 0.492656 2.228022 1.772360 7.685980 9.640479
4.018317 S4 166.444740 1.468825 9.857446 0.354896 1448 0.612912 0.612912 0.270360 1.613815 1.814416 7.920937 9.640479
4.218984 S2 166.444740 2.701116 10.161340 0.360242 1448 1.555976 1.555976 0.504672 2.264038 1.898528 8.401465 9.640479
4.420853 S0 110.963160 2.456028 9.854812 0.377325 1448 1.812218 1.812218 0.720960 2.961703 2.892852 15.154297 6.426986
4.622722 S1 166.444740 2.671878 10.292802 0.381526 1448 1.903466 1.903466 0.528704 2.336936 2.036712 9.221620 9.640479
4.823389 S0 166.444740 2.477768 10.235543 0.392715 1448 3.165164 3.165164 0.504672 2.264038 2.084776 9.515843 9.640479
5.025258 S4 110.963160 1.431743 10.898778 0.396451 1448 1.263846 1.263846 0.441588 2.078176 3.361476 19.022473 6.426986
5.227139 S0 166.444740 2.324446 10.416963 0.403668 1448 1.772597 1.772597 0.486648 2.210122 2.180904 10.118150 9.640479
5.427800 S1 331.122539 2.501858 8.784932 0.407454 1448 2.128966 2.128966 0.265763 1.602155 0.933189 3.737221 19.178617
5.628480 S0 332.889481 1.687395 7.807776 0.405036 1448 0.536016 0.536016 0.177236 1.385885 0.820092 3.312735 19.280959
5.829135 S2 166.444740 1.842016 7.511970 0.402481 1448 0.210726 0.210726 0.384512 1.916873 1.568088 6.595076 9.640479
6.030997 S3 166.444740 1.177521 9.158498 0.354154 1448 1.411771 1.411771 0.216288 1.479356 1.682240 7.194411 9.640479
6.232866 S4 166.444740 1.441187 10.264065 0.329551 1448 1.567164 1.567164 0.246328 1.553333 1.754336 7.586367 9.640479
6.433533 S1 166.444740 2.536858 10.387404 0.337905 1448 1.586390 1.586390 0.444592 2.086846 1.820424 7.954792 9.640479
6.634200 S0 166.444740 2.165741 10.238047 0.353017 1448 2.150937 2.150937 0.396528 1.950290 1.874496 8.262727 9.640479
6.834867 S1 166.444740 2.553680 10.311695 0.358360 1448 2.188957 2.188957 0.474632 2.174540 1.916552 8.506276 9.640479
7.036736 S0 166.444740 2.155490 10.277624 0.370819 1448 2.296431 2.296431 0.414552 2.000957 1.976632 8.860338 9.640479
7.237403 S2 166.444740 2.470846 10.249435 0.379750 1448 2.430080 2.430080 0.486648 2.210122 2.018688 9.112477 9.640479
7.438070 S0 166.444740 2.118599 10.092771 0.393679 1448 1.671340 1.671340 0.432576 2.052274 2.060744 9.368154 9.640479
7.638738 S2 166.444740 2.431754 10.045458 0.400146 1448 2.066189 2.066189 0.504672 2.264038 2.084776 9.515843 9.640479
7.839411 S0 12.588117 1.733639 9.562976 0.414278 1448 4.465148 4.465148 4.925280 35.108943 27.168480 793.463266 0.729104
8.041274 S2 16.644474 2.421488 8.544790 0.416194 1448 0.937145 0.937145 5.226960 38.775031 18.444560 378.090914 0.964048
8.241960 S0 66.365390 1.391834 8.545862 0.416142 1448 1.278311 1.278311 0.753405 3.074428 4.625905 31.650809 3.843883
8.442608 S2 166.444740 2.530639 8.302771 0.407397 1448 1.069099 1.069099 0.534712 2.355341 1.754336 7.586367 9.640479
8.643275 S3 166.444740 1.114351 9.035276 0.384626 1448 0.924716 0.924716 0.222296 1.494008 1.802400 7.853446 9.640479
8.845144 S2 166.444740 2.868916 9.584071 0.367436 1448 1.298018 1.298018 0.546728 2.392368 1.826432 7.988718 9.640479
9.045811 S1 166.444740 2.118882 9.952323 0.360824 1448 1.820442 1.820442 0.396528 1.950290 1.862480 8.193792 9.640479
9.247680 S0 110.963160 1.801438 9.892106 0.366534 1448 1.430221 1.430221 0.513684 2.291239 2.820756 14.598176 6.426986
9.449549 S1 166.444740 2.131105 9.821614 0.375062 1448 0.584651 0.584651 0.414552 2.000957 1.910544 8.471266 9.640479
9.650216 S4 166.444740 1.481561 9.675498 0.383120 1448 2.852719 2.852719 0.294392 1.675451 1.922560 8.541357 9.640479
9.852085 S1 166.444740 2.191195 9.921246 0.380636 1448 1.477981 1.477981 0.432576 2.052274 1.958608 8.753361 9.640479
10.052752 S0 166.444740 1.923282 9.675586 0.391498 1448 1.501491 1.501491 0.390520 1.933546 1.964616 8.788948 9.640479
10.254621 S1 166.444740 2.123544 9.628674 0.398217 1448 2.706220 2.706220 0.438584 2.069524 1.988648 8.932017 9.640479
10.455288 S0 166.444740 1.974515 9.754695 0.393073 1448 1.704990 1.704990 0.402536 1.967107 1.988648 8.932017 9.640479
10.657157 S1 166.444740 2.150561 9.735649 0.398601 1448 1.848669 1.848669 0.444592 2.086846 2.012680 9.076241 9.640479
10.860227 S0 110.963160 2.007608 9.776176 0.398134 1448 1.243246 1.243246 0.621828 2.630326 3.028032 16.225042 6.426986
11.062096 S2 166.444740 2.586723 9.607828 0.407521 1448 24.496509 24.496509 0.546728 2.392368 2.030704 9.185167 9.640479
11.262763 S0 166.444740 2.010294 9.764286 0.403364 1448 1.360850 1.360850 0.420560 2.017991 2.042720 9.258145 9.640479
11.464632 S1 166.444740 2.093974 9.705853 0.409373 1448 1.997224 1.997224 0.444592 2.086846 2.060744 9.368154 9.640479
11.665299 S0 166.444740 2.032226 9.681297 0.410411 1448 2.173387 2.173387 0.432576 2.052274 2.060744 9.368154 9.640479
11.867168 S1 166.444740 2.072187 9.492856 0.413677 1448 2.185720 2.185720 0.444592 2.086846 2.036712 9.221620 9.640479
12.069037 S0 166.444740 1.985468 8.361335 0.414242 1448 2.453719 2.453719 0.426568 2.035096 1.796392 7.819808 9.640479
12.270906 S1 3495.339547 2.071209 8.396793 0.413872 1448 54.860608 54.860608 0.021171 1.042790 0.085829 1.179024 202.450067
12.472774 S0 166.444740 2.119349 9.223648 0.388074 1448 3.555182 3.555182 0.426568 2.035096 1.856472 8.159432 9.640479
12.673442 S2 166.444740 2.319548 9.936444 0.369562 1448 1.836727 1.836727 0.444592 2.086846 1.904536 8.436329 9.640479
12.875310 S3 166.444740 1.404110 10.047186 0.371253 1448 2.840590 2.840590 0.270360 1.613815 1.934576 8.611736 9.640479
13.077179 S4 166.444740 1.531982 10.080444 0.378072 1448 2.186719 2.186719 0.300400 1.691040 1.976632 8.860338 9.640479
13.277846 S3 166.444740 1.416704 10.067642 0.384306 1448 1.373002 1.373002 0.282376 1.644488 2.006672 9.040077 9.640479
13.478514 S2 166.444740 2.464931 10.037911 0.390060 1448 2.820041 2.820041 0.498664 2.245994 2.030704 9.185167 9.640479
13.680382 S3 166.444740 1.490550 9.975220 0.404125 1448 4.518140 4.518140 0.312416 1.722436 2.090784 9.552946 9.640479
13.881050 S4 166.444740 1.571663 10.001490 0.405380 1448 2.124590 2.124590 0.330440 1.770071 2.102800 9.627368 9.640479
14.081723 S3 166.001829 1.300019 9.044810 0.418800 1448 1.630566 1.630566 0.283129 1.646421 1.969858 8.820055 9.614826
14.283586 S4 166.444740 1.571302 7.553278 0.420217 1448 2.662199 2.662199 0.342456 1.802188 1.646192 7.002332 9.640479
14.484259 S1 499.334221 1.545872 6.984027 0.419636 1448 3.558092 3.558092 0.112149 1.236876 0.506675 2.270069 28.921438
14.684927 S4 167.337971 1.125208 7.201333 0.411799 1448 2.795354 2.795354 0.239037 1.535213 1.529838 6.400081 9.692215
14.885587 S2 166.444740 2.231200 9.517461 0.332277 1448 1.744986 1.744986 0.384512 1.916873 1.640184 6.970572 9.640479
15.086254 S3 166.444740 1.577591 10.346060 0.315742 1448 5.144732 5.144732 0.258344 1.583430 1.694256 7.259015 9.640479
15.288123 S0 166.444740 2.200594 10.293100 0.326370 1448 0.718819 0.718819 0.372496 1.883745 1.742320 7.520319 9.640479
15.489992 S1 166.444740 2.343174 10.085835 0.341117 1448 1.934679 1.934679 0.414552 2.000957 1.784376 7.752750 9.640479
15.690659 S0 166.444740 2.123671 10.054255 0.349101 1448 0.935067 0.935067 0.384512 1.916873 1.820424 7.954792 9.640479
15.891326 S2 332.889481 2.287402 10.019466 0.359562 1448 1.142400 1.142400 0.213284 1.472058 0.934244 3.741300 19.280959
16.093195 S0 166.444740 2.133203 10.061079 0.363832 1448 0.631521 0.631521 0.402536 1.967107 1.898528 8.401465 9.640479
16.295064 S2 166.444740 2.246945 10.017629 0.371192 1448 2.137896 2.137896 0.432576 2.052274 1.928568 8.576511 9.640479
16.496933 S3 166.444740 1.544525 9.842559 0.382502 1448 5.756838 5.756838 0.306408 1.706702 1.952600 8.717847 9.640479
16.698802 S4 166.444740 1.434961 9.835465 0.387489 1448 6.614187 6.614187 0.288384 1.659933 1.976632 8.860338 9.640479
16.900670 S3 166.444740 1.542088 9.786331 0.390618 1448 0.544957 0.544957 0.312416 1.722436 1.982640 8.896141 9.640479
17.102539 S4 166.444740 1.440814 9.791653 0.393955 1448 1.440024 1.440024 0.294392 1.675451 2.000664 9.003984 9.640479
17.303206 S3 166.444740 1.548737 9.759966 0.396421 1448 1.469728 1.469728 0.318424 1.738242 2.006672 9.040077 9.640479
17.503874 S4 166.444740 1.387021 9.680248 0.400882 1448 1.501941 1.501941 0.288384 1.659933 2.012680 9.076241 9.640479
17.704541 S3 166.444740 1.506359 9.521327 0.407573 1448 1.537256 1.537256 0.318424 1.738242 2.012680 9.076241 9.640479
