0-Time 1-Source 2-bdp_pkts 3-arr_Mbps  4-aggreg_ar_Mbps  5-AverageRttValue 6-pktsize 7-mupsi 8-aggreg_mupsi 9-occ_bdp_per_source 10-mupsi_mm1_per_source 11-aggreg_occ_bdp 12-aggreg_mupsi_mm1 13-measured_btlBW_Mbps
0.200179 S1 2.976757 0.057920 0.637120 0.200000 1448 0.998764 0.998764 0.335936 1.784725 3.695296 22.045805 0.172414
0.401462 S0 0.994314 0.521280 2.838080 0.200000 1448 1.000000 1.000000 9.051468 101.032006 49.280214 2528.099905 0.057591
0.602750 S0 1.306758 0.714469 3.792180 0.210775 1448 0.999999 0.999999 9.948282 119.864873 52.802418 2894.700221 0.075687
0.804037 S0 2.958595 1.052107 4.997507 0.220206 1448 1.058613 1.058613 6.759964 60.217047 32.109831 1096.260902 0.171362
1.007727 S0 3.803753 0.991038 4.277113 0.222086 1448 1.114988 1.114988 4.995066 35.940819 21.557654 508.847756 0.220313
1.209015 S0 1.969510 1.102756 4.796989 0.210092 1448 1.153657 1.153657 10.154808 124.429733 44.173413 2040.637247 0.114074
1.411504 S0 2.041998 1.115249 4.962860 0.207738 1448 1.169597 1.169597 9.794328 116.517508 43.584758 1987.800630 0.118273
1.613992 S0 10.209323 1.179144 5.558823 0.206306 1448 1.184564 1.184564 2.056943 9.344903 9.697019 114.426218 0.591324
1.815280 S0 4.654752 1.213583 5.681777 0.209996 1448 1.257254 1.257254 4.726353 32.791117 22.127925 534.900899 0.269603
2.017769 S0 4.858562 1.250684 5.872779 0.213029 1448 1.077910 1.077910 4.733911 32.877736 22.228800 539.577138 0.281408
2.219056 S0 5.411425 1.318450 6.207704 0.210866 1448 1.171348 1.171348 4.435061 29.539891 20.881747 478.810846 0.313430
2.421545 S0 5.688857 1.365898 6.392403 0.212022 1448 1.085405 1.085405 4.394555 29.101229 20.566520 465.114774 0.329499
2.622832 S0 6.461859 1.434775 6.732406 0.209917 1448 3.462532 3.462532 4.023610 25.236655 18.880015 395.214990 0.374271
2.825321 S0 6.722860 1.498206 7.047117 0.208762 1448 0.404653 0.404653 4.016148 25.161740 18.890770 395.642729 0.389388
3.026608 S0 7.829736 1.539515 7.257712 0.210685 1448 0.996606 0.996606 3.576110 20.940784 16.858805 318.936917 0.453498
3.229097 S0 8.424158 1.608719 7.599811 0.208822 1448 1.381540 1.381540 3.442480 19.735632 16.262752 298.002611 0.487927
3.430384 S0 10.237697 1.651451 7.816869 0.210433 1448 1.597739 1.597739 2.930347 15.447624 13.870307 221.126037 0.592967
3.632873 S0 11.278252 1.722928 8.170011 0.208427 1448 1.238849 1.238849 2.748653 14.052398 13.033934 196.951313 0.653236
3.834161 S0 14.784540 1.764609 8.381891 0.210068 1448 0.868346 0.868346 2.164423 10.013573 10.281009 127.261174 0.856321
4.036649 S0 17.057214 1.837572 8.742388 0.208031 1448 1.052639 1.052639 1.934665 8.612260 9.204317 104.128076 0.987954
4.237937 S0 26.597004 1.877259 8.889373 0.209804 1448 0.872354 0.872354 1.278339 5.190831 6.053313 49.749230 1.540498
4.440426 S0 34.981890 1.956387 9.334762 0.207239 1448 1.093622 1.093622 1.000518 4.002071 4.773899 33.337907 2.026151
4.641713 S0 132.306284 2.001494 9.562693 0.208356 1448 1.184548 1.184548 0.272096 1.618228 1.300014 5.290064 7.663180
4.843582 S4 166.444740 1.169791 9.915373 0.207955 1448 1.021350 1.021350 0.126168 1.268254 1.069424 4.282516 9.640479
5.044249 S4 166.444740 1.145652 9.819870 0.212337 1448 1.037684 1.037684 0.126168 1.268254 1.081440 4.332392 9.640479
5.246118 S4 166.444740 1.185970 9.757295 0.214886 1448 0.981177 0.981177 0.132176 1.281822 1.087448 4.357439 9.640479
5.446785 S3 166.444740 2.100595 9.610223 0.220585 1448 1.394015 1.394015 0.240320 1.538394 1.099464 4.407749 9.640479
5.647452 S3 166.444740 2.031735 9.481430 0.222360 1448 1.092756 1.092756 0.234312 1.523526 1.093456 4.382558 9.640479
5.849321 S3 166.444740 2.010591 9.382757 0.224698 1448 1.087634 1.087634 0.234312 1.523526 1.093456 4.382558 9.640479
6.049988 S2 166.444740 1.889222 9.551067 0.220738 1448 0.950319 0.950319 0.216288 1.479356 1.093456 4.382558 9.640479
6.251857 S2 166.444740 1.888289 9.546351 0.220848 1448 0.855798 0.855798 0.216288 1.479356 1.093456 4.382558 9.640479
6.452524 S1 166.444740 2.045791 9.547023 0.220832 1448 1.228685 1.228685 0.234312 1.523526 1.093456 4.382558 9.640479
6.654393 S1 166.444740 2.040952 9.524444 0.221355 1448 1.177168 1.177168 0.234312 1.523526 1.093456 4.382558 9.640479
6.856262 S1 166.444740 2.030530 9.475807 0.222492 1448 1.155757 1.155757 0.234312 1.523526 1.093456 4.382558 9.640479
7.058131 S1 166.444740 2.007935 9.370361 0.224995 1448 1.028007 1.028007 0.234312 1.523526 1.093456 4.382558 9.640479
7.259999 S0 166.444740 1.937864 9.532194 0.221176 1448 0.998613 0.998613 0.222296 1.494008 1.093456 4.382558 9.640479
7.461868 S0 166.444740 1.928825 9.487732 0.222212 1448 1.295772 1.295772 0.222296 1.494008 1.093456 4.382558 9.640479
7.663737 S0 166.444740 1.960940 9.443475 0.224480 1448 1.130640 1.130640 0.228304 1.508731 1.099464 4.407749 9.640479
7.865606 S4 166.444740 1.201670 9.508865 0.221718 1448 1.168985 1.168985 0.138184 1.295463 1.093456 4.382558 9.640479
8.067475 S4 166.444740 1.186613 9.389721 0.224531 1448 1.267845 1.267845 0.138184 1.295463 1.093456 4.382558 9.640479
8.269343 S3 166.444740 2.044864 9.542696 0.220932 1448 0.968648 0.968648 0.234312 1.523526 1.093456 4.382558 9.640479
8.471212 S3 166.444740 2.037889 9.510149 0.221688 1448 1.057222 1.057222 0.234312 1.523526 1.093456 4.382558 9.640479
8.673081 S3 166.444740 2.021746 9.434816 0.223458 1448 1.178025 1.178025 0.234312 1.523526 1.093456 4.382558 9.640479
8.873748 S2 166.444740 1.889106 9.550478 0.220752 1448 1.035717 1.035717 0.216288 1.479356 1.093456 4.382558 9.640479
9.075617 S2 166.444740 1.888853 9.549199 0.220782 1448 1.071968 1.071968 0.216288 1.479356 1.093456 4.382558 9.640479
9.277486 S2 166.444740 1.888126 9.545526 0.220867 1448 1.204136 1.204136 0.216288 1.479356 1.093456 4.382558 9.640479
9.478153 S1 166.444740 2.045294 9.544704 0.220886 1448 1.174803 1.174803 0.234312 1.523526 1.093456 4.382558 9.640479
9.680022 S1 166.444740 2.039739 9.518781 0.221487 1448 1.116189 1.116189 0.234312 1.523526 1.093456 4.382558 9.640479
9.881891 S1 166.444740 2.027480 9.461575 0.222826 1448 1.079682 1.079682 0.234312 1.523526 1.093456 4.382558 9.640479
10.083759 S1 166.444740 2.046096 9.548449 0.220799 1448 1.057014 1.057014 0.234312 1.523526 1.093456 4.382558 9.640479
10.285628 S0 166.444740 1.936598 9.525969 0.221320 1448 1.140811 1.140811 0.222296 1.494008 1.093456 4.382558 9.640479
10.487497 S0 166.444740 1.926744 9.477499 0.222452 1448 1.579825 1.579825 0.222296 1.494008 1.093456 4.382558 9.640479
10.689366 S0 166.444740 1.904774 9.369428 0.225018 1448 1.057646 1.057646 0.222296 1.494008 1.093456 4.382558 9.640479
10.891235 S4 166.444740 1.199721 9.493448 0.222078 1448 1.117094 1.117094 0.138184 1.295463 1.093456 4.382558 9.640479
11.093103 S3 166.444740 2.011529 9.387137 0.224593 1448 1.094555 1.094555 0.234312 1.523526 1.093456 4.382558 9.640479
11.294972 S3 166.444740 2.044079 9.539035 0.221017 1448 0.906309 0.906309 0.234312 1.523526 1.093456 4.382558 9.640479
11.496841 S3 166.444740 2.035652 9.499712 0.221932 1448 1.063867 1.063867 0.234312 1.523526 1.093456 4.382558 9.640479
11.698710 S3 166.444740 2.017988 9.417275 0.223875 1448 1.133658 1.133658 0.234312 1.523526 1.093456 4.382558 9.640479
11.899377 S2 166.444740 1.889195 9.550930 0.220742 1448 1.007621 1.007621 0.216288 1.479356 1.093456 4.382558 9.640479
12.101246 S2 166.444740 1.888706 9.548457 0.220799 1448 0.969387 0.969387 0.216288 1.479356 1.093456 4.382558 9.640479
12.303115 S2 166.444740 1.888364 9.546730 0.220839 1448 0.842055 0.842055 0.216288 1.479356 1.093456 4.382558 9.640479
12.503782 S1 166.444740 2.044657 9.541734 0.220954 1448 1.334733 1.334733 0.234312 1.523526 1.093456 4.382558 9.640479
12.705651 S1 166.444740 2.038237 9.511774 0.221650 1448 1.117053 1.117053 0.234312 1.523526 1.093456 4.382558 9.640479
12.907519 S1 166.444740 2.024762 9.448891 0.223125 1448 1.624953 1.624953 0.234312 1.523526 1.093456 4.382558 9.640479
13.109388 S0 166.444740 1.940971 9.547481 0.220821 1448 1.035806 1.035806 0.222296 1.494008 1.093456 4.382558 9.640479
13.311257 S0 166.444740 1.935273 9.519449 0.221472 1448 1.163461 1.163461 0.222296 1.494008 1.093456 4.382558 9.640479
13.513126 S0 166.444740 1.924215 9.465060 0.222744 1448 1.699276 1.699276 0.222296 1.494008 1.093456 4.382558 9.640479
13.714995 S0 166.444740 1.941080 9.548017 0.220809 1448 1.176448 1.176448 0.222296 1.494008 1.093456 4.382558 9.640479
13.916863 S4 166.444740 1.197481 9.475719 0.222494 1448 1.124054 1.124054 0.138184 1.295463 1.093456 4.382558 9.640479
14.118732 S3 166.444740 2.012263 9.390561 0.224511 1448 1.115938 1.115938 0.234312 1.523526 1.093456 4.382558 9.640479
14.320601 S3 166.444740 2.043086 9.534399 0.221124 1448 1.015475 1.015475 0.234312 1.523526 1.093456 4.382558 9.640479
14.522470 S3 166.444740 2.033685 9.490532 0.222146 1448 1.101461 1.101461 0.234312 1.523526 1.093456 4.382558 9.640479
14.723137 S2 166.444740 1.860233 9.404511 0.224178 1448 1.194345 1.194345 0.216288 1.479356 1.093456 4.382558 9.640479
14.925006 S2 166.444740 1.889091 9.550403 0.220754 1448 1.000314 1.000314 0.216288 1.479356 1.093456 4.382558 9.640479
15.126875 S2 166.444740 1.888411 9.546966 0.220833 1448 1.017100 1.017100 0.216288 1.479356 1.093456 4.382558 9.640479
15.328743 S2 166.444740 1.888744 9.548648 0.220794 1448 1.062248 1.062248 0.216288 1.479356 1.093456 4.382558 9.640479
15.529411 S1 166.444740 2.043625 9.536915 0.221066 1448 0.980723 0.980723 0.234312 1.523526 1.093456 4.382558 9.640479
15.731279 S1 166.444740 2.036867 9.505380 0.221799 1448 1.114820 1.114820 0.234312 1.523526 1.093456 4.382558 9.640479
15.933148 S1 166.444740 2.021499 9.433662 0.223486 1448 1.401340 1.401340 0.234312 1.523526 1.093456 4.382558 9.640479
16.135017 S0 166.444740 1.940243 9.543898 0.220904 1448 1.059211 1.059211 0.222296 1.494008 1.093456 4.382558 9.640479
16.336886 S0 166.444740 1.933472 9.510594 0.221678 1448 1.164687 1.164687 0.222296 1.494008 1.093456 4.382558 9.640479
16.538755 S0 166.444740 1.921174 9.450102 0.223097 1448 0.805997 0.805997 0.222296 1.494008 1.093456 4.382558 9.640479
16.740623 S4 166.444740 1.205628 9.540188 0.220990 1448 1.129843 1.129843 0.138184 1.295463 1.093456 4.382558 9.640479
16.942492 S4 166.444740 1.194950 9.455691 0.222965 1448 1.124712 1.124712 0.138184 1.295463 1.093456 4.382558 9.640479
17.144361 S4 166.444740 1.183179 9.362548 0.225183 1448 1.125339 1.125339 0.138184 1.295463 1.093456 4.382558 9.640479
17.346230 S3 166.444740 2.042076 9.529687 0.221234 1448 1.049173 1.049173 0.234312 1.523526 1.093456 4.382558 9.640479
17.548099 S3 166.444740 2.031527 9.480459 0.222382 1448 1.099997 1.099997 0.234312 1.523526 1.093456 4.382558 9.640479
17.748766 S2 110.963160 1.860306 9.404879 0.224170 1448 1.145992 1.145992 0.324432 1.754120 1.640184 6.970572 6.426986
